ids,conc
P38121,4.32E-08
P38122,5.05E-07
P38127,6.48E-08
P38132,9.22E-07
P38144,4.86E-07
P38145,2.07E-06
P38149,7.75E-08
P38152,1.51E-06
P38153,9.02E-08
P38169,1.09E-06
P38172,4.22E-07
P38174,3.69E-07
P38175,1.08E-07
P38181,2.19E-07
P38182,9.53E-08
P38203,2.36E-06
P38205,2.43E-06
P38217,8.62E-08
P38221,5.85E-07
P38230,3.24E-06
P38234,3.56E-06
P38238,1.07E-06
P38249,2.51E-06
P38254,3.39E-07
P38255,4.91E-07
P38256,2.60E-07
P38260,6.54E-06
P38264,3.61E-06
P38281,4.09E-07
P38286,1.22E-06
P38288,6.14E-07
P38300,4.30E-07
P38314,1.88E-06
P38339,3.73E-08
P38352,1.09E-07
P38523,1.65E-05
P38555,1.42E-06
P38604,2.75E-07
P38615,5.29E-07
P38620,9.57E-08
P38624,1.69E-06
P38625,1.59E-05
P38626,8.95E-06
P38628,4.31E-07
P38629,1.68E-06
P38689,7.95E-06
P38698,2.43E-06
P38707,9.38E-06
P38708,3.15E-06
P38710,1.30E-07
P38712,2.08E-07
P38715,2.68E-06
P38732,3.69E-07
P38737,1.57E-07
P38746,3.36E-07
P38758,7.37E-07
P38759,5.41E-07
P38764,7.05E-06
P38768,6.06E-07
P38771,1.71E-06
P38779,5.20E-07
P38786,1.23E-07
P38787,6.20E-07
P38788,2.20E-05
P38791,1.56E-06
P38793,2.32E-07
P38797,1.69E-07
P38803,1.87E-07
P38804,7.73E-06
P38810,6.34E-07
P38816,6.44E-07
P38818,1.78E-07
P38819,3.60E-07
P38821,5.14E-06
P38822,2.76E-07
P38828,2.07E-06
P38833,1.38E-06
P38840,2.41E-06
P38841,1.81E-07
P38850,8.92E-09
P38856,7.65E-07
P38858,4.40E-06
P38861,1.32E-06
P38874,1.10E-07
P38875,2.64E-07
P38878,6.45E-07
P38879,1.83E-05
P38883,3.86E-07
P38885,1.78E-07
P38886,1.88E-05
P38891,1.53E-05
P38902,4.13E-06
P38910,9.08E-05
P38912,1.12E-06
P38922,7.18E-07
P38932,1.86E-08
P38934,2.73E-06
P38959,9.42E-08
P38968,3.08E-06
